AccessionsID,ProteinAccessions,Qvalue,Genes,ProteinDescriptions,ProteinNames,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,NC1,NC2,NC3
A0A075B6H9,A0A075B6H9,0.011722558,IGLV4-69,Immunoglobulin lambda variable 4-69,LV469_HUMAN,1.503515452,1.507533027,1.198346264,0.936986853,0.565536331,0.789668252,0.628303807,0.122679439,-0.079635386,0.04622517,-0.475912305,0.00488883,0.224834493
A0A075B6I0,A0A075B6I0,0.010195571,IGLV8-61,Immunoglobulin lambda variable 8-61,LV861_HUMAN,1.054004767,0.678918208,0.912942314,0.567052438,-1.225610608,-2.081441777,0.630702003,0.125281532,-1.408593508,-0.492972055,-0.95913874,-1.388326584,-0.97117796
A0A075B6I9,A0A075B6I9,0.001907735,IGLV7-46,Immunoglobulin lambda variable 7-46,LV746_HUMAN,1.365479827,2.785392112,1.822736464,1.431875953,0.013638016,-0.539079051,0.722668887,0.666740324,-0.336279095,0.748267295,0.279109167,0.611700849,0.517048552
A0A075B6J1,A0A075B6J1,0.160236902,IGLV5-37,Immunoglobulin lambda variable 5-37,LV537_HUMAN,-4.475411591,-4.273151894,-4.795301889,-5.182561012,-5.159598629,-6.265110054,-9.178586524,-3.293842996,-5.425602744,-5.595903588,-2.515564132,-8.190551249,-3.170956006
A0A075B6J9,A0A075B6J9,0.005239094,IGLV2-18,Immunoglobulin lambda variable 2-18,LV218_HUMAN,-0.124623533,1.252798136,0.723489498,0.675909021,-2.286071319,0,0.424825987,2.237350637,0.71880306,0.540280084,0.28772078,-0.481704165,0.498254259
A0A075B6K0,A0A075B6K0,0.034659425,IGLV3-16,Immunoglobulin lambda variable 3-16,LV316_HUMAN,-2.512342394,-1.129301693,-3.045989957,-3.405296174,-0.992233305,0,-4.862457141,-2.333067187,-4.5303176,-1.88088547,-0.682388908,-3.166684128,-1.769210747
A0A075B6K4,A0A075B6K4,0.012559417,IGLV3-10,Immunoglobulin lambda variable 3-10,LV310_HUMAN,-1.303403528,-0.743567744,0.092875724,-0.597413823,-1.327064448,-0.315683191,-0.50627842,-1.470528508,-0.059857609,-0.175283552,0.091414575,0.15655347,0.081679069
A0A075B6K5,A0A075B6K5,0.011797605,IGLV3-9,Immunoglobulin lambda variable 3-9,LV39_HUMAN,-1.0323638,-2.123158981,-2.213890146,0.748829316,-1.659961129,-3.945623213,-2.464815649,-1.868207578,-1.122518972,-4.00526161,-1.661790746,-3.810842661,-3.87359356
A0A075B6Q5,A0A075B6Q5,0.00697931,IGHV3-64,Immunoglobulin heavy variable 3-64,HV364_HUMAN,1.331522512,1.566955205,0.63712459,2.178040052,-0.425677645,4.048918199,3.703589329,4.173310943,3.016693612,3.473785649,1.124061977,2.917423812,2.38387722
A0A075B6R2,A0A075B6R2,0.02359312,IGHV4-4,Immunoglobulin heavy variable 4-4,HV404_HUMAN,-1.305966963,-1.298569763,-1.562238848,-1.413772829,-3.984139353,-0.459728966,-2.4308174,-3.828486267,-0.637815485,-0.522792837,-1.227351925,-2.360750846,-1.584768831
A0A075B6R9,A0A075B6R9;A0A0C4DH68,0.006673594,IGKV2D-24;IGKV2-24,Probable non-functional immunoglobulin kappa variable 2D-24;Immunoglobulin kappa variable 2-24,KVD24_HUMAN;KV224_HUMAN,1.386480747,1.526324189,1.129694298,1.494652412,1.055702146,0.789668252,0.505133034,1.083090539,0.076056102,1.761108573,0.935785775,0.209230486,0.987326503
A0A075B6S2,A0A075B6S2;A2NJV5,0.013902286,IGKV2D-29;IGKV2-29,Immunoglobulin kappa variable 2D-29;Immunoglobulin kappa variable 2-29,KVD29_HUMAN;KV229_HUMAN,-1.532727541,-1.786232253,0.258408202,0.910316427,0.347806377,-1.714583552,0.033413468,0.198580122,-0.752053319,-0.409070433,-0.85501107,0.015003284,0.085962271
A0A075B6S5,A0A075B6S5,0.071663104,IGKV1-27,Immunoglobulin kappa variable 1-27,KV127_HUMAN,-3.70459617,-2.890690987,-6.140226429,-3.482603605,-1.057784892,-3.537906506,-6.995059647,-6.0151797,-5.988955008,-3.730160301,-5.433869776,-4.775725049,-6.115546168
A0A075B6S6,A0A075B6S6,0.012558762,IGKV2D-30,Immunoglobulin kappa variable 2D-30,KVD30_HUMAN,-5.108191492,-4.847639573,-3.029442616,-4.670614423,-3.423813929,-3.832242015,-2.810686782,-1.38442608,-2.797418064,-1.079833332,-4.776531859,-2.498920168,-1.769210747
A0A087WSX0,A0A087WSX0,0.027942431,IGLV5-45,Immunoglobulin lambda variable 5-45,LV545_HUMAN,-1.853409691,-0.659810803,-2.215393268,-0.326277981,-3.676677718,-5.503845743,-9.178586524,-2.547457095,-5.988955008,-3.918938635,-5.433869776,-7.972581201,-7.173123681
A0A087WSY4,A0A087WSY4,0.073125186,IGHV4-30-2,Immunoglobulin heavy variable 4-30-2,HV432_HUMAN,-1.532727541,-2.521002993,-2.213890146,-2.615973485,-4.039161483,-2.978586753,-2.728571261,-4.871797198,-2.162613541,-6.040247893,-2.55256574,-3.06419672,-3.865640464
A0A087WSY6,A0A087WSY6,0.004679939,IGKV3D-15,Immunoglobulin kappa variable 3D-15,KVD15_HUMAN,0.333450691,0.603978757,0.63959112,-0.054134875,-0.432581064,-1.32217362,-0.567251786,0.616167477,0.262400012,0.997120027,0.393465945,-0.676082725,1.679906084
A0A087WSZ0,A0A087WSZ0,0.023357232,IGKV1D-8,Immunoglobulin kappa variable 1D-8,KVD08_HUMAN,-2.070895197,-0.252937297,-1.40930566,-2.409341452,-3.810884308,-2.528103164,-2.385437127,-2.857785211,-3.80940667,-1.383719815,-4.256982583,-4.290234928,-5.270510924
A0A087WW87,A0A087WW87;P01614,0.009268723,IGKV2-40;IGKV2D-40,Immunoglobulin kappa variable 2-40;Immunoglobulin kappa variable 2D-40,KV240_HUMAN;KVD40_HUMAN,5.170554551,5.699789364,4.52851743,3.892322452,5.183998484,3.917508899,5.78092477,5.619762852,4.864270404,5.218390194,6.534592441,3.89159168,4.646495505
A0A0A0MRZ8,A0A0A0MRZ8;P04433,0.007045886,IGKV3D-11;IGKV3-11,Immunoglobulin kappa variable 3D-11;Immunoglobulin kappa variable 3-11,KVD11_HUMAN;KV311_HUMAN,3.323060174,3.071636245,2.823172727,2.994383175,2.147557748,2.466923147,2.509072525,2.700225991,1.581556807,2.43724295,1.742305719,2.620289626,2.412084801
A0A0A0MRZ9,A0A0A0MRZ9,0.107168795,IGLV5-52,Immunoglobulin lambda variable 5-52,LV552_HUMAN,-2.162782035,-3.942115761,-4.150669651,-4.98795009,-4.742524109,-4.942081783,-4.168665225,-3.522045523,-5.027717517,-6.450293392,-2.682372117,-4.890026401,-4.340087182
A0A0A0MS14,A0A0A0MS14,3.27E-05,IGHV1-45,Immunoglobulin heavy variable 1-45,HV145_HUMAN,0.757805968,1.529585693,1.498458449,1.599288961,-0.960833042,0.861222364,2.105240592,1.630015908,-0.569054469,0.341789696,1.551511956,1.194646395,1.123156008
A0A0A0MS15,A0A0A0MS15,0.010107982,IGHV3-49,Immunoglobulin heavy variable 3-49,HV349_HUMAN,0.587427174,1.146480679,0.934485889,0.21676507,0.193249958,-0.221642657,-1.045442555,0.016629892,-0.583360089,-0.299067006,-0.084030234,-1.773549252,0.033514919
A0A0A0MT36,A0A0A0MT36,0.010685731,IGKV6D-21,Immunoglobulin kappa variable 6D-21,KVD21_HUMAN,0.896297849,-0.615714446,0.869953779,-0.164726588,-0.322996677,-4.404898837,-0.853354818,-0.196257739,-0.916595279,0.562357774,-1.176923868,0.173549457,-1.308212962
A0A0A0MT89,A0A0A0MT89,0.02359312,IGKJ1,Immunoglobulin kappa joining 1,KJ01_HUMAN,-0.294440742,-0.724624057,-0.755115814,-1.169128199,-2.286071319,-1.110586992,-0.741082771,-0.912789025,-2.127342494,-1.079833332,-0.976234249,-2.93205739,-1.504266249
A0A0B4J1U3,A0A0B4J1U3,0.018282542,IGLV1-36,Immunoglobulin lambda variable 1-36,LV136_HUMAN,-2.024196928,1.079941013,-1.250577587,-0.615131519,-1.672394987,-1.69044949,-0.987390742,-3.771066156,-2.033743803,-0.584464965,-0.684636114,-1.195024369,-1.423019562
A0A0B4J1U7,A0A0B4J1U7,0.000117755,IGHV6-1,Immunoglobulin heavy variable 6-1,HV601_HUMAN,-0.079946423,1.259839557,0.091115682,-0.247751017,-3.231220934,-3.593337303,-1.205987179,-1.045687428,-1.597383858,0.303521801,-0.651254123,-1.237947146,-0.320436585
A0A0B4J1V0,A0A0B4J1V0,0.008616127,IGHV3-15,Immunoglobulin heavy variable 3-15,HV315_HUMAN,-1.403903027,0.740346862,0.516775843,-0.886616007,-0.78707337,-0.315683191,-1.752357272,-0.295023679,-0.869533509,-0.819128525,-0.885627059,-3.319281569,-0.169491543
A0A0B4J1V2,A0A0B4J1V2,0.114902486,IGHV2-26,Immunoglobulin heavy variable 2-26,HV226_HUMAN,-1.402092422,-2.734742435,-5.127388172,-2.443767745,-3.556331742,-4.333592464,-6.003706306,-2.121115605,-4.000479598,-6.120756533,-4.364845379,-5.170582585,-6.115546168
A0A0B4J1X5,A0A0B4J1X5,0.015287959,IGHV3-74,Immunoglobulin heavy variable 3-74,HV374_HUMAN,-1.250310947,-1.615787404,-3.045989957,-1.593721226,-4.020255091,-2.750656472,-3.157991975,-3.565626466,-3.867682045,-2.91515497,-5.771357058,-1.594241664,-1.474667184
A0A0B4J1X8,A0A0B4J1X8,0.005761481,IGHV3-43,Immunoglobulin heavy variable 3-43,HV343_HUMAN,0.84799045,1.719774725,1.013760536,-2.005173701,0.648498465,1.170913296,0.176772139,2.082137506,2.073587275,0.259550475,0.300091783,-0.522239335,0.484126031
A0A0B4J1Y8,A0A0B4J1Y8,0.011895371,IGLV9-49,Immunoglobulin lambda variable 9-49,LV949_HUMAN,0.276249577,-0.28452506,-0.202498482,-0.951836797,-3.396140625,-3.695699852,-2.017649148,-0.544641356,-1.723648705,-0.160561286,-3.294563513,-2.478144282,-0.219279994
A0A0B4J1Y9,A0A0B4J1Y9,0.008040707,IGHV3-72,Immunoglobulin heavy variable 3-72,HV372_HUMAN,3.20568773,3.759287176,3.93184498,2.549915887,3.176214522,3.162034588,3.605409711,3.435268352,3.083638631,3.5343445,1.180845338,2.369520158,2.740972306
A0A0B4J2D9,A0A0B4J2D9;P0DP09,0.010977263,IGKV1D-13;IGKV1-13,Immunoglobulin kappa variable 1D-13;Immunoglobulin kappa variable 1-13,KVD13_HUMAN;KV113_HUMAN,-2.313918418,0.018734654,-0.172199319,-0.900236119,-3.676677718,-1.608913757,2.277618217,-2.291361055,1.096463587,-1.895989472,0.771486897,-1.744255303,1.371815838
A0A0B4J2H0,A0A0B4J2H0,0.001627665,IGHV1-69D,Immunoglobulin heavy variable 1-69D,HV69D_HUMAN,2.936508483,4.924386195,3.878524538,4.193670991,3.443816341,3.522419525,3.255073823,4.268759994,3.728109914,2.844249421,3.657506548,1.808475388,3.515877013
A0A0C4DH24,A0A0C4DH24,0.010841473,IGKV6-21,Immunoglobulin kappa variable 6-21,KV621_HUMAN,-2.520793817,-0.515759764,-1.183081028,-1.608491753,-4.052957781,-2.480655088,-2.063488903,-3.22536642,-1.913021157,-2.160281924,-0.852762236,-4.674968719,-1.22704121
A0A0C4DH25,A0A0C4DH25,0.014136824,IGKV3D-20,Immunoglobulin kappa variable 3D-20,KVD20_HUMAN,3.037924792,3.163405981,3.22974181,2.557691583,0.73477774,1.426764333,1.367759804,2.412998413,1.797592433,2.19741929,1.98392628,0.916763489,1.283137125
A0A0C4DH29,A0A0C4DH29,6.78E-07,IGHV1-3,Immunoglobulin heavy variable 1-3,HV103_HUMAN,0.263430463,0.341417755,0.385222986,0.604650347,-1.453664996,0.11250551,-1.815780601,-4.566906589,-0.369117224,-0.477183516,-0.684636114,-1.706221248,0.579845005
A0A0C4DH31,A0A0C4DH31,0.039266091,IGHV1-18,Immunoglobulin heavy variable 1-18,HV118_HUMAN,-1.609723618,0.275067423,-0.699526829,-4.361997479,-0.992233305,-0.83391318,-5.197511401,-0.50118145,-1.79360959,-0.736330953,0.975730437,-1.773549252,1.10036269
A0A0C4DH33,A0A0C4DH33,0.03133435,IGHV1-24,Immunoglobulin heavy variable 1-24,HV124_HUMAN,-2.737328303,-2.613493969,-1.444640641,-2.412958399,-3.153931019,-4.273936779,-2.209039308,-1.429266449,-1.077812676,-2.529262469,-2.364859596,-3.025706606,-1.940237034
A0A0C4DH34,A0A0C4DH34,0.005189408,IGHV4-28,Immunoglobulin heavy variable 4-28,HV428_HUMAN,1.957784667,0.758954753,1.494277906,1.695429422,1.673696773,1.609673537,1.544320805,1.555928598,-0.103484324,2.111248256,0.97679266,0.540031571,1.365690093
A0A0C4DH38,A0A0C4DH38,0.000539213,IGHV5-51,Immunoglobulin heavy variable 5-51,HV551_HUMAN,2.910519784,2.484977149,2.213233774,2.821606589,2.999805024,0.437438584,3.090759127,3.620203926,2.872189876,2.940064266,2.572357992,2.353136131,2.882882255
A0A0C4DH39,A0A0C4DH39,0.173981788,IGHV1-58,Immunoglobulin heavy variable 1-58,HV158_HUMAN,-1.402092422,-0.78124625,3.072039788,-0.404380688,-1.290399326,-0.824070779,-2.707694233,-3.136399661,-4.385478529,-1.812515642,-0.543280572,-3.802372677,-4.499047093
A0A0C4DH43,A0A0C4DH43,0.015272168,IGHV2-70D,Immunoglobulin heavy variable 2-70D,HV70D_HUMAN,-1.308680167,-3.616867163,-2.855706893,-2.615973485,-2.28113009,-2.380887597,-3.957504831,-2.317805451,-1.786247562,-2.702540588,-2.15948504,-3.066072223,-2.2306681
A0A0C4DH67,A0A0C4DH67,0.011075826,IGKV1-8,Immunoglobulin kappa variable 1-8,KV108_HUMAN,-0.496380351,1.510194393,0.068344021,1.500829542,-0.933447978,0.758968422,0.360203945,2.011817388,0.806352049,1.557819711,0.575848725,-0.00488883,0.89008463
A0A0G2JMI3,A0A0G2JMI3,0.106029125,IGHV1-69-2,Immunoglobulin heavy variable 1-69-2,HV692_HUMAN,-4.582728832,-2.486860487,-6.372524378,-2.0219942,-2.125324587,-3.244803594,-9.178586524,-6.519748406,-9.481287717,-3.36084682,-6.788910366,-6.342176119,-4.735302696
A0A0J9YVY3,A0A0J9YVY3,0.040094441,IGHV7-4-1,Immunoglobulin heavy variable 7-4-1,HV741_HUMAN,-6.340565481,-6.600048727,-4.618886434,-5.103286002,-5.616762999,-3.170786616,-4.263466818,-4.975901799,-4.994018804,-2.726077734,-4.364845379,-4.775725049,-3.949341965
A0A0J9YX35,A0A0J9YX35,0.001278569,IGHV3-64D,Immunoglobulin heavy variable 3-64D,HV64D_HUMAN,0.689650842,1.170798262,0.722496814,1.02785477,-0.6467196,0.257636493,0.228859181,1.445182568,0.995729196,1.025987825,0.284602108,-0.259763101,0.580873898
A0A0J9YXX1,A0A0J9YXX1,0.021024831,IGHV5-10-1,Immunoglobulin heavy variable 5-10-1,HV5X1_HUMAN,-1.204266199,0.016467154,-1.847193236,0.086590275,0.014730217,-0.406878194,-7.251618815,-2.608897071,-2.487417536,-3.498745756,-2.996886416,-4.018697906,-0.857387924
A0M8Q6,A0M8Q6,0.011075826,IGLC7,Immunoglobulin lambda constant 7,IGLC7_HUMAN,-0.783528324,1.75892752,-0.028087956,-0.71904347,-1.875486073,-0.992579744,-0.003250465,-0.940358941,-0.067164753,-0.499275881,0.036607838,-2.532830677,-0.920899385
A6NFK2,A6NFK2,0.000308128,GRXCR2,Glutaredoxin domain-containing cysteine-rich protein 2,GRCR2_HUMAN,-5.108191492,-4.273151894,0.344932558,-6.038687624,-1.057784892,-2.441966236,-4.108285875,-3.773275351,-5.16184186,-1.877949579,-1.176923868,-1.677106515,-2.119562901
A8MUU1,A8MUU1;Q01469,0.094226673,FABP5P3;FABP5,Putative fatty acid-binding protein 5-like protein 3;Fatty acid-binding protein 5,FB5L3_HUMAN;FABP5_HUMAN,-0.781082627,-1.268213888,-0.501727236,-0.338219477,-5.829721316,-0.668982662,-3.804580149,-1.45108275,-3.320783807,-2.805672264,-1.661790746,-5.966178714,-3.949341965
O00187,O00187,0.011234396,MASP2,Mannan-binding lectin serine protease 2,MASP2_HUMAN,-0.749337284,-1.933756298,-1.711829435,-1.319774744,-1.453664996,-1.007888486,-2.353035617,-1.418787861,-5.734764368,-0.841168861,-2.970604949,-2.173303584,-2.169918232
O00213,O00213,0.134889279,APBB1,Amyloid-beta A4 precursor protein-binding family B member 1,APBB1_HUMAN,-0.784155706,-0.821125278,-1.347935503,-2.0219942,-3.24874272,-2.659327752,-3.157991975,-3.136399661,-1.710285389,-1.056920908,-0.347330565,-3.466689697,-2.655535301
O00299,O00299,0.053786833,CLIC1,Chloride intracellular channel protein 1,CLIC1_HUMAN,-1.558589432,-1.31473693,-1.625768373,-5.058714127,-3.24874272,-1.110586992,-0.926754645,-1.503639463,-0.794037257,-2.145975072,-1.155988927,-1.158096329,-0.641755977
O00391,O00391,0.000791831,QSOX1,Sulfhydryl oxidase 1,QSOX1_HUMAN,-2.483415771,-1.31473693,-3.559803903,-4.087669907,-5.616762999,-4.6245811,-2.861547862,-3.903840842,-3.886875513,-2.51215277,-5.785889352,-5.966178714,-3.927795413
O00451,O00451,0.17656094,GFRA2,GDNF family receptor alpha-2,GFRA2_HUMAN,-5.933561518,-5.093850757,-5.039805317,-5.854446788,-5.159598629,-3.170786616,-1.305802433,-0.176828125,-3.297443038,-4.659099247,-2.515564132,-3.36266537,-0.999797215
O00468,O00468,0.104341165,AGRN,Agrin,AGRIN_HUMAN,-3.939571797,-3.616867163,-3.306570503,-2.411410773,-4.272472958,-2.940978655,-6.580027926,0.35987257,-4.516852157,-2.818619868,-2.326749862,-7.316599319,-5.286054225
O00533,O00533,0.057107962,CHL1,Neural cell adhesion molecule L1-like protein,NCHL1_HUMAN,-5.845499757,-6.049796351,-4.513353334,-5.727162148,-6.751084543,-7.533971095,-6.021526777,-6.272941127,-6.374871634,-7.281828775,-7.184602937,-8.534204446,-8.654641573
O14746,O14746,3.30E-06,TERT,Telomerase reverse transcriptase,TERT_HUMAN,1.603204664,1.243291431,1.245956078,1.919039594,2.733497544,2.38748575,1.888210911,2.04301672,0.375459655,1.798766727,1.179298687,1.037045622,1.465242438
O14786,O14786,0.014738524,NRP1,Neuropilin-1,NRP1_HUMAN,-1.305966963,-2.7989206,0.068350477,-1.981525053,-3.793402877,-0.246628907,-2.596626256,-1.302133361,-1.122518972,-4.253212584,-1.304794946,-2.113568063,-4.669897749
O14791,O14791,0.003301736,APOL1,Apolipoprotein L1,APOL1_HUMAN,0.86999906,1.299939232,1.200536586,1.371177976,1.055702146,1.155581066,0.578614254,1.043844037,1.063551899,1.825429702,0.542059038,0.70620618,1.416375332
O15031,O15031,0.228180917,PLXNB2,Plexin-B2,PLXB2_HUMAN,-4.000314999,-0.586348993,-4.795301889,0.057596286,-1.393558778,-1.894370983,-2.142002946,-3.335399861,-5.16184186,-0.443032395,-6.133511212,-5.170582585,-5.510388359
O15145,O15145,0.117598272,ARPC3,Actin-related protein 2/3 complex subunit 3,ARPC3_HUMAN,-3.005967072,-4.847639573,-3.478087847,-5.727162148,-7.485217375,-5.041922117,-4.856174504,-7.339033292,-3.51346325,-5.741636278,-4.935853922,-7.316599319,-5.286054225
O15204,O15204,0.119103058,ADAMDEC1,ADAM DEC1,ADEC1_HUMAN,-2.106297781,-3.833482362,-1.347935503,-3.981030235,-1.823094364,-3.945623213,-3.157991975,-1.868207578,-2.405535166,-3.113895365,-3.527650657,-2.93205739,-2.126377799
O15270,O15270;Q9NUV7,0.094214474,SPTLC2;SPTLC3,Serine palmitoyltransferase 2;Serine palmitoyltransferase 3,SPTC2_HUMAN;SPTC3_HUMAN,4.112211772,4.748203357,4.394712099,4.881270245,2.23697593,0.437438584,0.414977774,2.457682188,0.418497715,1.55433183,1.794893961,1.379580042,1.832294783
