UNIPROT_ID,GENE.NAME,GENE.ID,FASTA,ID,E07,E08,E09,E10,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20
P25311,Zinc-alpha-2-glycoprotein,AZGP1,ZA2G_HUMAN Zinc-alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=AZGP1 PE=1 SV=2,P25311|Zinc-alpha-2-glycoprotein|AZGP1_sp|P25311|ZA2G_HUMAN Zinc-alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=AZGP1 PE=1 SV=2,0.504192872,0.691230695,0.96301547,-0.210249549,-0.042135717,0.545659756,-3.92542597,-0.096115275,-0.953015893,0.334141351,-1.915541229,-0.506927823,-0.611478052,-3.586153661,-5.184311959,-1.567584861,-2.461153973,-1.700217303,-1.090334548,-0.55868379,-1.026737697,-4.443893471,-0.914904148,-2.122299879,-1.333604743,-1.813964985,-1.65985468,-0.689013513,-1.575903587,-2.922886027,1.713010481,-1.696735512,-0.952188553,-1.938237392,-1.049552432,-2.505535953,-0.284893546,-2.217876205,0.856384483,-1.475145247,-0.047361659,0.247798052,0.78674264,0.082414384,0.129309068,-0.748912484,0.037653424,-2.222046863,-0.663893566,-1.349547107,0.468550846,-0.649835101,0.082747117,-1.049830176,-2.638100609,-1.436639669,0.620925772,-1.336904644,1.226923473,-2.434943201,-0.787585443,0.478218359,0.80791971,0.976145664,-2.061405702,-3.738709236,-2.151281974,-0.649025283,-0.619166307,-1.16272498,-1.033892381,-1.550933697,0.917168049,-0.439601779,-3.707762651,-4.24286579,-0.7931184,-1.528769527,0.188477701,-2.368200381,-1.269783928,-3.785346821,0.122801438,-2.784463903,-3.859054462,-4.040802108,-3.683503585,-1.060872548,-2.365736537,-3.468256184,-5.44784325,-1.774978398,-1.236154268,-0.23743873
P04275,von Willebrand factor,VWF,VWF_HUMAN von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4,P04275|von Willebrand factor|VWF_sp|P04275|VWF_HUMAN von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4,4.44684795,-1.695263667,3.55263054,1.017780343,3.845575114,2.593398734,1.894256856,2.573245667,2.945000949,1.830399232,3.699243939,0.906621662,3.263733188,0.915409322,2.737363522,2.980202167,3.757488926,0.744973132,0.934033965,0.356372478,2.649032752,1.536318837,3.820824876,2.311261426,2.526271433,3.493307078,1.814393968,1.648586039,2.236447026,3.496621977,3.18683996,2.980353835,3.679247852,4.020615799,4.451527758,3.87337634,3.557171201,2.641169656,2.419486552,1.23020832,4.316483352,1.220252438,4.74535261,1.86964331,4.573593111,4.664078708,3.40857065,4.626198264,3.35031288,2.962139464,2.664485817,2.909140644,3.725022254,3.151274353,6.01845477,3.051735256,4.7082608,3.03219825,5.320697404,4.040683114,3.369550868,2.479216524,-2.94936258,2.118140057,2.793181671,3.846567463,5.050083447,3.878103728,3.653253751,3.772317815,3.147363815,4.652330536,1.097219561,0.552893004,3.233408655,0.766996168,1.896946692,3.449545152,2.186899291,-0.862268159,0.684034931,0.034253062,3.084265002,2.692946942,1.76597482,1.504047251,1.422244935,-0.624956319,0.36657299,0.824799193,-0.042621414,0.058411562,1.080319623,1.462045421
P04004,Vitronectin,VTN,VTNC_HUMAN Vitronectin OS=Homo sapiens OX=9606 GN=VTN PE=1 SV=1,P04004|Vitronectin|VTN_sp|P04004|VTNC_HUMAN Vitronectin OS=Homo sapiens OX=9606 GN=VTN PE=1 SV=1,2.771164909,2.087076144,2.542214187,1.478779017,2.03689424,1.921299305,1.069616317,2.383739109,2.123867871,2.023431847,1.932031432,0.776629397,2.133728983,2.117824652,1.140017936,1.256363073,1.531766488,0.321631488,0.888350472,1.065617195,1.628066357,0.514474659,1.61209795,3.262548388,1.100057146,1.100154203,1.269299521,0.330085498,0.792345047,1.631541342,2.180877455,1.054101815,1.376472475,0.533016629,0.359404831,0.638779706,1.897306116,0.920171035,2.309964486,1.244565255,2.124938029,1.81263602,2.52442658,1.285636485,1.386668119,1.138633841,2.970163365,2.0429886,0.990480364,0.975825545,2.441847558,1.448519305,2.553657703,0.333842426,1.07842115,1.425954509,2.552973278,2.081805932,2.637796856,0.360728487,1.603595161,2.746845134,2.085459235,2.145215948,0.760135632,0.679441436,2.723743144,1.520838362,-0.370913188,0.291971074,1.774883258,4.624949868,1.367624639,1.155759826,1.069156912,0.5668681,0.842319613,1.755416975,2.045934767,1.664108329,0.438390309,0.574163488,1.816688254,0.580322792,-0.055030529,0.675321376,1.972777958,1.257080561,0.542571225,0.167360412,-0.053110251,1.227027122,1.201655944,1.533560535
P07225,Vitamin K-dependent protein S,PROS1,PROS_HUMAN Vitamin K-dependent protein S OS=Homo sapiens OX=9606 GN=PROS1 PE=1 SV=1,P07225|Vitamin K-dependent protein S|PROS1_sp|P07225|PROS_HUMAN Vitamin K-dependent protein S OS=Homo sapiens OX=9606 GN=PROS1 PE=1 SV=1,2.739901576,0.336524883,2.627359453,0.689128664,2.601310229,1.316880802,1.412927954,3.002141656,2.420723193,2.288039256,2.562124361,1.235593923,2.685945932,2.784062865,1.457467514,1.493999418,1.861853439,1.504174153,0.761556744,2.07568081,2.305035262,1.139447868,1.613562224,2.531467253,1.896918254,1.704996988,2.348416111,2.01820879,1.532322925,2.406124293,1.242261147,1.572072015,1.141295095,2.950296886,1.972684852,2.425560885,2.772765709,1.50036953,3.072799168,1.464254159,2.342511508,1.718847603,2.528422259,2.966588126,1.781488203,2.707896503,3.713725107,2.200771988,2.24278475,1.891070685,2.852132622,2.516542157,3.339709061,1.347910522,2.946203207,1.903734093,4.02219599,3.097531998,2.93428586,2.142523461,2.567462746,2.191775474,0.567996821,1.444503232,2.094622812,1.902803782,2.924900781,3.141573511,0,2.209130638,2.655736608,3.014745255,1.198201255,1.150231829,1.654157584,1.201166844,1.232124567,1.794821737,2.493274781,1.966777263,1.210372163,0.877316343,1.831401226,2.0155689,1.543760639,0.974315402,2.307231823,1.084038336,1.960681214,0.930605791,1.079161464,1.403261213,1.453068836,1.592292165
P02774,Vitamin D-binding protein,GC,VTDB_HUMAN Vitamin D-binding protein OS=Homo sapiens OX=9606 GN=GC PE=1 SV=2,P02774|Vitamin D-binding protein|GC_sp|P02774|VTDB_HUMAN Vitamin D-binding protein OS=Homo sapiens OX=9606 GN=GC PE=1 SV=2,3.750992252,3.48226207,3.863959508,3.664472426,3.531052905,3.198167167,2.184669486,4.211051205,3.232143227,2.955346218,3.091755926,2.501342274,3.487152832,3.522099751,1.38061295,2.490171179,2.668437502,1.640382068,1.806198884,2.923652954,2.44543146,1.637775813,2.939835847,3.069235436,2.747625276,1.984832788,2.270007981,3.043357119,2.051487129,2.266707113,3.514760718,2.117814715,2.423094785,2.578983216,1.431177717,1.80463478,3.335985867,2.407606558,3.728374176,3.365291046,2.973932136,2.374305157,3.495828701,2.796008049,2.759434318,2.375510342,4.142197082,2.481130216,2.107499518,1.693043703,3.559692408,2.64951016,3.581724757,1.92130427,-0.213422884,2.048747277,3.605141743,3.130620657,4.266834468,2.363120799,3.423080265,4.192523512,3.639553183,4.236362995,4.510399581,1.498616451,3.064264256,2.999625389,1.375983388,2.701976496,3.079726054,3.383069775,2.847246722,3.476142216,2.2921654,2.218576719,2.81474157,2.718615948,3.710965543,3.483639454,2.119619012,1.95365217,3.646563782,2.211592382,2.581376292,2.103043414,2.380006631,3.176542999,1.434273133,1.836257325,0.853138818,2.189588705,2.538642625,2.228646375
P07437,Tubulin beta chain,TUBB,TBB5_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,P07437|Tubulin beta chain|TUBB_sp|P07437|TBB5_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,-3.042306362,-2.812702075,-4.806907875,-3.731508529,-3.679563656,-2.095037234,-1.906131155,-0.063571175,-1.981073344,-0.344581899,-4.647826302,-2.488838665,-6.040529715,-0.959616386,-4.183205597,-0.708801987,-3.446441761,-5.926666276,0.761556744,-5.477598918,-4.81819733,-5.427964212,-2.309459288,-3.424962804,-3.850250141,-5.967280343,-4.893065442,-2.393514882,-1.468128517,-4.180417705,-3.000950606,-5.090872566,-3.265871615,-1.173640774,-1.595093327,-5.396070439,-5.082329145,-5.730368637,-3.691947458,-5.858778266,-2.872265042,-1.75395489,-2.21186888,-3.220952702,-1.897491376,-3.7605926,-2.026081528,-2.604759119,-7.519560319,-5.467665249,-3.840538944,-4.068366494,-2.415801555,-2.796140508,-1.928559248,-6.656830275,-3.337679226,-3.272641391,0.448052229,-5.49736157,-4.174193723,-1.792520032,-3.48842916,-1.650762372,-4.81168075,-3.893128161,-0.367581847,-2.071640523,-2.211816007,-5.213894566,-1.864779306,-1.126072914,-0.266782076,-1.371448231,-2.937814768,-4.574985958,-3.53177709,-4.00710659,0.329383717,-1.898411295,-2.192922363,-3.926245722,-0.992131991,-5.118813408,-5.743864022,-6.104915403,-3.913767228,-2.23154367,-3.90835915,-4.2569294,-6.232132483,-2.032514408,1.323349519,0.482087523
P02766,Transthyretin,TTR,TTHY_HUMAN Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1,P02766|Transthyretin|TTR_sp|P02766|TTHY_HUMAN Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1,5.20639534,2.93069663,3.813364769,4.595131305,4.338846566,5.075261251,3.635094187,5.964189873,3.290903093,3.591688739,3.505536502,3.847205582,3.017001205,4.351854701,3.07082801,4.484475926,3.664476173,3.726809265,5.036608497,4.748749036,3.215580338,2.469463613,3.587661547,4.966087891,4.192559176,2.971638082,3.789613695,3.620279848,3.190953318,2.966393237,3.463502884,3.361308685,3.007842435,4.434103301,2.120279845,3.331873709,4.572000934,3.138533607,5.016451851,4.258467117,3.188821393,3.664329201,4.081802457,4.369403712,3.135582804,2.845819195,4.461947008,1.873797611,2.356520566,1.588986045,3.732540739,4.272499383,6.212120881,2.841309388,2.267162621,2.551746044,3.936408198,4.708739192,4.938643502,3.683625047,4.221073446,5.794576212,4.899382847,5.846663212,3.087675064,3.311094713,3.622374221,3.610198664,2.187381363,3.695307165,4.229178605,4.016085715,4.668754057,4.9636979,4.094695353,3.901184999,4.902947044,2.95087079,5.586260262,5.969122065,4.410933822,4.025849122,6.374000233,4.905817246,5.215724172,4.507511733,4.480287826,5.945042471,4.857399528,3.55439291,3.279306681,4.534542005,5.488802463,4.946944233
P02786,Transferrin receptor protein 1,TFRC,TFR1_HUMAN Transferrin receptor protein 1 OS=Homo sapiens OX=9606 GN=TFRC PE=1 SV=2,P02786|Transferrin receptor protein 1|TFRC_sp|P02786|TFR1_HUMAN Transferrin receptor protein 1 OS=Homo sapiens OX=9606 GN=TFRC PE=1 SV=2,-2.170424913,1.560658012,1.964052693,-1.9362845,-1.859314972,-0.795678606,-3.161879021,-1.461512421,1.639432838,-3.191496374,-1.707115135,-3.185569554,-2.296801542,-1.913285664,-2.693849163,-2.620224594,1.13169316,-1.618263865,-0.419306884,-0.137591902,-0.433068329,-1.442935612,-1.809170312,-2.387649645,-1.252173244,-2.041576296,-1.377790827,-0.053275137,0.185963185,-3.023138837,0,-0.288197327,-4.414151622,-1.640002652,-2.237274477,-3.434888992,0.352327616,-0.386607787,-0.613544232,-0.12893046,-0.176071849,-1.330792473,-2.89793151,-0.7874106,0.564956029,-0.426361329,0.492581356,-2.247358327,-1.216028313,-0.125530133,-2.347896787,-0.471967136,0.147648871,-0.464232733,-3.739941416,-0.614683089,1.570426953,0.089602325,1.396484315,-3.06653793,-1.446043177,-1.18731008,-0.482850204,-2.240310684,-4.154574922,0,1.151205749,-0.991420468,-1.566862223,-1.319728596,-0.298640318,0.338317693,-1.925365281,1.198219881,-2.236601047,-1.931685868,-1.706625433,-2.406706855,0.722296533,-1.855692256,-2.192922363,-3.32573023,-0.972519642,-2.106965202,-2.808186113,-2.475659752,-0.912754651,-1.319193307,-1.022815519,-3.959595104,-2.849132213,-2.28700769,-2.205728275,-1.583573144
P05543,Thyroxine-binding globulin,SERPINA7,THBG_HUMAN Thyroxine-binding globulin OS=Homo sapiens OX=9606 GN=SERPINA7 PE=1 SV=2,P05543|Thyroxine-binding globulin|SERPINA7_sp|P05543|THBG_HUMAN Thyroxine-binding globulin OS=Homo sapiens OX=9606 GN=SERPINA7 PE=1 SV=2,-2.440207051,-3.759686444,-4.546358818,-5.638627273,-4.567492907,-2.091868706,-2.424773043,-1.574468311,-3.703842093,-4.490392381,-2.979441309,-3.630836376,-2.266379856,-2.268970776,-6.204653529,-3.22241858,-5.800129315,-5.976986343,-5.617237909,-4.37297399,-5.556637244,-5.214491475,-2.545351396,-2.500700338,-3.849030824,-4.85136772,-4.128644574,-2.729827064,-4.219995461,-5.301485786,-0.903050774,-3.628567702,-3.320640297,-4.266545089,-7.751401458,-6.344417092,-2.269626562,-3.385601606,-3.691947458,-5.14123815,-4.21932467,-4.752107255,-1.993086743,-6.228388773,-5.0847251,-4.122115959,-2.369519564,-3.906842251,-3.380923464,-4.622463944,-1.88779038,-5.337202416,-4.511719805,-4.721472462,-1.112672058,-5.345010568,-1.908447987,-3.899797797,-0.924949095,-3.586766924,-4.769938564,-1.724953011,-1.899856132,-0.468200175,-3.677715077,-5.122150441,-4.951028845,-4.310085073,-3.377344512,-3.332723417,-4.766262471,-3.9748132,-5.011145652,-5.374351807,-5.306489193,-4.786767534,-5.817357094,-3.263760322,-4.433824698,-3.921863461,-5.150138498,-4.530991639,-1.999859481,-3.917343209,-3.124829532,-4.637434983,-4.591745778,-3.629783735,-7.906169252,-4.336804965,-6.645941361,-4.081103754,-3.734783268,-3.183191056
Q4LDE5,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",SVEP1,"SVEP1_HUMAN Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SVEP1 PE=1 SV=3","Q4LDE5|Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1|SVEP1_sp|Q4LDE5|SVEP1_HUMAN Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SVEP1 PE=1 SV=3",-6.663853864,-6.061593568,-6.440446066,-6.216406192,-4.511151078,-9.583932822,-6.051673393,-7.372191885,-5.682775844,-6.840712005,-6.269250558,-9.059847408,-6.735066468,-9.802730707,-8.984050201,-6.990618673,-7.485659339,-7.148464997,-6.412853706,-5.559510005,-8.670193074,-5.35188739,-6.675098874,-8.075263048,-7.267476865,-7.193601174,-9.404971116,-10.81751085,-6.463174909,-6.171036339,-7.182130234,-6.463163346,-8.385049227,-7.807306522,-5.192586419,-4.702818023,-7.906388917,-7.02390848,-9.159059977,-4.182687406,-6.91760746,-7.432741849,-7.475512684,-6.956916355,-3.632836773,-5.536256873,-6.071761464,-3.710023223,-5.593153396,-7.441464905,-8.176421741,-6.369616272,-7.462110816,-4.964532222,-4.862747067,-5.127903354,-8.399345574,-7.045641521,-7.561706027,-7.187522363,-4.161150837,-9.184683924,-5.129025316,-7.121086122,-4.81168075,-7.985672424,-3.800606755,-3.559887132,-5.361852194,-8.63647178,-8.806710527,-3.9748132,-5.853354198,-3.961151161,-6.935018989,-8.43957727,-7.257843255,-6.922668739,-6.779957738,-8.186930498,-5.959768738,-5.202190078,-7.326806546,-6.614354576,-6.395236024,-8.832594808,-3.635247264,-8.357224229,-7.27306471,-7.516825344,-9.11045244,-7.19759996,-6.298801754,-6.949720427
P11277,"Spectrin beta chain, erythrocytic",SPTB,"SPTB1_HUMAN Spectrin beta chain, erythrocytic OS=Homo sapiens OX=9606 GN=SPTB PE=1 SV=5","P11277|Spectrin beta chain, erythrocytic|SPTB_sp|P11277|SPTB1_HUMAN Spectrin beta chain, erythrocytic OS=Homo sapiens OX=9606 GN=SPTB PE=1 SV=5",-3.291723841,-4.741442155,-6.302555957,-5.520738775,-3.923439596,-7.84290648,-6.226149757,-4.592706844,-5.682775844,-3.350891488,-7.056657276,-8.448768556,-6.076189019,-7.555296655,-7.494871239,-6.708636677,-6.383655584,-6.877737132,-6.756353422,-7.168874867,-5.434188234,-8.193047313,-2.361625982,-5.431306355,-7.267476865,-2.019509144,-6.610970141,-10.81751085,-6.463174909,-6.581042733,-6.134678087,-6.023823658,-7.273010534,-8.153744258,-8.63022314,-6.832470465,-4.043590073,-9.957892819,-3.834445817,-9.803165212,-4.827646091,-8.716034447,-9.344700304,-4.512066104,-4.707177565,-8.597602549,-8.059446407,-3.456247424,-6.06120661,-8.64130841,-3.748305451,-6.545703866,-3.818922043,-7.098037707,-5.369560939,-5.967318169,-5.898602283,-9.60030466,-3.461195452,-7.470275004,-7.381623736,-0.707523801,-3.875564116,1.317967478,-7.629657655,-1.783463948,-1.618208597,-1.615630256,-5.525518985,-2.112144994,-3.13491837,-4.536674273,-3.672932567,-5.845591471,-5.267928302,-6.669883338,-6.548465558,-8.726413063,-10.19424098,-7.456772113,-7.040697823,-7.451542402,-7.046600048,-9.852091394,-6.395236024,-5.670033655,-3.089517831,-8.297724886,-11.11471226,-7.326160994,-7.26395023,-6.782673026,-8.283290893,-6.949720427
